SampID,control_YN,Site,Plant_species,Site_lat,Site_long,Site_elevation,Site_invasion_level,Soil_type,Plant_rep_ID,Plant_rep_group,dist_from_vetch_m,Weighted_NODF,NODF,NODFc,Mean_Seed_Mass,Mean_Total_Seeds,Ratio_250_Log,Ind_Nestedness_Contribution,Pollinator_Richness,Pollinator_Abundance,Native_Pollinator_Abundance,Honeybee_Abundance,Bombus_Abundance,Network_Plant_Richness,Site_Plant_Richness,Mean_Floral_Abundance
B_V_14,no,Bertha,Vetch,385154.91,1222415.43,2133,Low,Nonserpentine,14,5,NA,21.73116,38.46364,3.877098,0.00249,1.48,1.3895,-0.7821443,14,58,46,12,25,21,45,369.3333
G_L_3,no,Goatgrass,Goldfield,385141.71,1222427.26,2125,Low,Serptentine,3,1,NA,16.97873,29.83562,3.536853,0.00292,1.22,4.04,7.499783,44,249,249,0,0,33,45,1418.43478
G_L_5,no,Goatgrass,Goldfield,385141.71,1222427.26,2125,Low,Serptentine,5,2,NA,16.97873,29.83562,3.536853,0.00292,1.22,4.04,7.499783,44,249,249,0,0,33,45,1418.43478
G_L_9,no,Goatgrass,Goldfield,385141.71,1222427.26,2125,Low,Serptentine,9,3,NA,16.97873,29.83562,3.536853,0.00292,1.22,4.04,7.499783,44,249,249,0,0,33,45,1418.43478
G_T_0_14,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,14,1,0,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_1_8,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,8,1,1,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_5_4,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,4,1,5,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_5_14,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,14,2,5,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_10_11,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,11,1,10,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_10_14,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,14,2,10,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_50_1,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,1,1,50,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_50_4,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,4,2,50,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_50_7,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,7,3,50,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_50_11,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,11,4,50,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_T_50_13,no,Goatgrass,Clover,385145.9,1222426.8,2117,Low,Serptentine,13,5,50,16.97873,29.83562,3.536853,0.00292,1.22,4.04,1.665111,10,18,18,0,3,33,45,61.06667
G_V_1,no,Goatgrass,Vetch,385146.74,1222425.62,2111,Low,Nonserpentine,1,1,NA,16.97873,29.83562,3.536853,0.00292,1.22,4.04,2.3486201,14,134,97,37,50,33,45,1208.33333
L_L_1,no,Long,Goldfield,385128.38,1222352.69,2236,High,Serptentine,1,1,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,5.51902949,26,126,126,0,0,20,47,3687.45833
L_L_4,no,Long,Goldfield,385128.38,1222352.69,2236,High,Serptentine,4,2,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,5.51902949,26,126,126,0,0,20,47,3687.45833
L_L_10,no,Long,Goldfield,385128.38,1222352.69,2236,High,Serptentine,10,3,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,5.51902949,26,126,126,0,0,20,47,3687.45833
